"","STUDENTID","DISTRICTID","PHOENIX","Y1SCHOOLID","Y3SCHOOLID","FAST","S13A","S13B","LUNCH_STATUS","ATTENDANCE_RATE","S2B","C3YRSTCH","P6","P5","P3A","P3B","P3C","P4A","P4B","P4C","Q11","Q10","Q8A","Q8B","Q8C","Q9A","Q9B","Q9C","R6","R5","R3A","R3B","R3C","R4A","R4B","R4C","S12A","S11","S9A","S9B","S9C","S10A","S10B","S10C","PHQ2","ATTENDANCE_PCT","FR_LUNCH"
"1752","E218102",2,"Phoenix School",218,233,"Control School",NA,NA,3,0.944,NA,5,1,1,2,1,2,2,2,2,1,1,2,1,2,2,2,2,5,3,1,3,3,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.4,"0"
"1753","E417036",4,"San Antonio School",417,419,"Control School",NA,NA,1,0.964,NA,3,3,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.4,"1"
"1754","E315054",3,"Phoenix School",315,302,"Control School",NA,NA,1,0.844,NA,5,6,2,1,3,1,2,3,2,6,1,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.4,"1"
"1755","E214003",2,"Phoenix School",214,214,"FAST Program",NA,NA,3,0.956,NA,5,4,3,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.6,"0"
"1756","E419076",4,"San Antonio School",419,419,"Control School",NA,NA,3,0.955,NA,5,3,1,1,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.5,"0"
"1757","S304034",3,"Phoenix School",304,NA,"FAST Program",NA,NA,1,0.75,NA,NA,0,3,1,1,1,1,1,1,1,3,2,2,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,"1"
"1758","E417053",4,"San Antonio School",417,417,"Control School",NA,NA,1,0.881,NA,5,3,2,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.1,"1"
"1759","E423029",4,"San Antonio School",423,NA,"Control School",NA,NA,1,0.977,NA,NA,4,3,3,2,2,3,2,2,5,3,1,1,1,1,1,1,6,2,2,2,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.7,"1"
"1760","E113026",1,"Phoenix School",113,113,"FAST Program",NA,NA,3,0.989,NA,1,4,4,4,4,4,3,4,4,6,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.9,"0"
"1761","E426051",4,"San Antonio School",426,426,"FAST Program",NA,NA,1,0.972,NA,2,0,2,1,1,1,2,2,2,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.2,"1"
